"","X","Y","TP","TN","NTU","Sample","Flow"
"1",7676.54166666667,1,0.007,0.41,1.7,"R",0.34
"2",7690.54166666667,1,0.01,0.21,0.9,"R",0.66
"3",7704.54166666667,1,0.014,0.245,1.6,"R",0.48
"4",7718.54166666667,1,0.021,0.245,2.4,"R",0.67
"5",7732.58333333333,1,0.008,0.215,1.3,"R",0.71
"6",7748.58333333333,1,0.13,0.245,1.7,"R",0.34
"7",7761.59375,1,0.012,0.195,2.5,"R",0.3
"8",7774.58333333333,1,0.04,0.305,1.2,"R",0.65
"9",7788.58333333333,1,0.014,0.245,1.4,"R",0.65
"10",7802.58333333333,1,0.015,0.27,2.1,"R",0.72
"11",7816.58333333333,1,0.005,0.265,1.9,"R",2.15
"12",7829.84375,1,0.042,0.71,840,"F",13.97
"13",7830.11458333333,1,0.034,0.46,1000,"F",118.85
"14",7831.58333333333,1,0.11,2.56,140,"R",626.99
"15",7844.58333333333,1,0.027,1.36,7.3,"R",10.41
"16",7858.58333333333,1,0.01,0.74,2.1,"R",3.65
"17",7861.02083333333,1,0.54,2.53,730,"F",13.32
"18",7861.27083333333,1,0.016,0.49,650,"F",59.23
"19",7861.5625,1,0.044,0.78,258,"F",119.23
"20",7873.58333333333,1,0.031,1.73,14.5,"R",20.82
"21",7886.58333333333,1,0.032,1.1,5,"R",7.29
"22",7887.1875,1,0.023,1.23,21,"F",13.68
"23",7900.58333333333,1,0.017,0.99,4.9,"R",8.13
"24",7914.58333333333,1,0.01,0.2,6.4,"R",30.57
"25",7928.58333333333,1,0.057,0.86,6.8,"R",15.58
"26",7942.58333333333,1,0.019,0.5,3.4,"R",14.28
"27",7956.58333333333,1,0.043,0.52,1.6,"R",2.44
"28",7970.54166666667,1,0.014,0.415,1.7,"R",0.95
"29",7984.54166666667,1,0.013,0.485,4.6,"R",1.2
"30",8000.54166666667,1,0.017,0.475,2.4,"R",0.6
"32",8011.54166666667,1,0.034,0.45,4.5,"R",0.36
"33",8016.70833333333,1,0.023,1.65,21,"F",15.36
"34",8019.54166666667,1,0.014,0.325,9.1,"R",9.19
"35",8035.54166666667,1,0.028,0.265,1.5,"R",1.32
"36",8047.54166666667,1,0.019,0.355,12.8,"R",10.79
"37",8061.54166666667,1,0.012,0.355,5.6,"R",5.61
"38",8072.75,1,0.194,1.23,100,"F",13.3
"39",8073.97916666667,1,0.64,1.27,730,"F",58.7
"40",8074.33333333333,1,0.53,1.25,800,"F",117.31
"41",8074.83333333333,1,0.46,0.78,358,"F",332.52
"42",8075.54166666667,1,0.114,1.04,179,"R",282.64
"43",8089.54166666667,1,0.015,0.495,4,"R",5.72
"44",8100.33333333333,1,0.01,0.255,3.9,"F",17.35
"45",8103.58333333333,1,0.029,0.465,4.1,"R",12.51
"46",8117.58333333333,1,0.009,0.54,1.3,"R",2.44
"47",8131.58333333333,1,0.033,0.655,2.9,"R",2.3
"48",8145.58333333333,1,0.006,0.325,1.7,"R",1.87
"49",8159.58333333333,1,0.003,0.275,1.7,"R",2.95
"50",8173.58333333333,1,0.007,0.275,5.8,"R",2.3
"51",8187.58333333333,1,0.004,0.205,2.5,"R",2.59
"52",8201.58333333333,1,0.006,0.205,2.4,"R",1.77
"53",8215.51041666667,1,0.015,0.455,NA,"F",14
"54",8215.58333333333,1,0.015,0.355,8,"R",20.68
"55",8229.58333333333,1,0.012,0.355,3.4,"R",2.79
"56",8257.58333333333,1,0.011,0.305,1.25,"R",2.71
"57",8271.58333333333,1,0.01,0.355,0.76,"R",2.79
"58",8285.58333333333,1,0.018,0.305,0.87,"R",4.87
"59",8299.58333333333,1,0.04,0.305,0.95,"R",3.21
"60",8313.58333333333,1,0.026,0.305,1.06,"R",3.24
"61",8328.45833333333,1,0.01,0.445,1.76,"F",13.48
"62",8328.58333333333,1,0.017,0.74,12.2,"R",52.67
"63",8345.58333333333,1,0.008,0.445,2.66,"R",5.37
"64",8361.58333333333,1,0.011,0.375,1.43,"R",2.13
"65",8376.01041666667,1,0.014,0.35,5.96,"F",13.44
"66",8409.58333333333,1,0.01,0.38,4.01,"R",2.04
"67",8426.58333333333,1,0.008,0.55,2.34,"R",2.22
"68",8441.58333333333,1,0.004,0.39,1.38,"R",0.92
"69",8457.58333333333,1,0.006,0.38,1.53,"R",0.95
"70",8473.58333333333,1,0.005,0.38,2,"R",2.13
"71",8484.78125,1,0.022,0.43,4.13,"F",27.4
"72",8489.58333333333,1,0.026,0.56,40.3,"R",3.01
"73",8505.58333333333,1,0.005,0.25,8.41,"R",0.7
"74",8521.58333333333,1,0.005,0.26,2.94,"R",0.48
"75",8537.58333333333,1,0.001,0.32,2.22,"R",0.4
"76",8553.58333333333,1,0.003,0.2,1.46,"R",0.63
"77",8569.58333333333,1,NA,NA,1.18,"R",1.02
"78",8585.58333333333,1,0.002,0.18,1.18,"R",0.82
"79",8601.58333333333,1,0.004,0.25,1.15,"R",2.45
"80",8610.14583333333,1,0.01,0.28,NA,"F",13.99
"81",8617.58333333333,1,0.002,0.4,1.72,"R",3.29
"82",8633.58333333333,1,0.006,0.29,1.47,"R",2.16
"83",8649.58333333333,1,0.006,0.26,0.91,"R",1.27
"84",8656.17708333333,1,0.02,0.48,NA,"F",13.47
"85",8665.58333333333,1,0.018,0.58,5.97,"R",6.91
"86",8681.58333333333,1,0.019,0.54,5.8,"R",17.8
"87",8697.58333333333,1,0.02,0.52,2,"R",6.6
"88",8713.58333333333,1,0.011,0.51,1.04,"R",0.93
"89",8729.58333333333,1,0.008,0.34,1.17,"R",3.57
"90",8745.58333333333,1,0.004,0.34,1.34,"R",0.57
"91",8756.6875,1,0.008,NA,NA,"F",0.45
"92",8809.58333333333,1,0.017,0.57,4.68,"R",0.03
"93",8839.58333333333,1,0.005,0.36,0.88,"R",2.98
"94",8867.58333333333,1,0.1,1.5,105,NA,0.58
"95",8868.5,1,NA,NA,11.2,"A",48.19
"96",8868.625,1,NA,NA,15.5,"A",57.21
"97",8868.75,1,NA,NA,91.2,"A",83.59
"98",8868.875,1,NA,NA,96.4,"A",120.25
"99",8869,1,NA,NA,182,"A",144.7
"100",8869.125,1,NA,NA,265,"A",149.35
"101",8869.25,1,NA,NA,193,"A",143.39
"102",8869.375,1,NA,NA,164,"A",134.33
"103",8869.5,1,NA,NA,159,"A",125.31
"104",8869.625,1,NA,NA,159,"A",119.79
"105",8869.75,1,NA,NA,85.7,"A",113.16
"106",8869.875,1,NA,NA,63.2,"A",107.69
"107",8870,1,NA,NA,56.1,"A",101.02
"108",8870.125,1,NA,NA,49.8,"A",91.38
"109",8870.25,1,NA,NA,45.3,"A",82.06
"110",8870.375,1,NA,NA,43.5,"A",72.96
"111",8870.5,1,NA,NA,39.3,"A",65.63
"112",8870.625,1,NA,NA,40.2,"A",59.26
"113",8870.75,1,NA,NA,40.8,"A",53.85
"114",8870.875,1,NA,NA,39.3,"A",49.6
"115",8871,1,NA,NA,35.6,"A",47.71
"116",8871.125,1,NA,NA,34.7,"A",53.71
"117",8871.25,1,NA,NA,34,"A",55.05
"118",8871.58333333333,1,0.05,0.82,36.8,NA,48.4
"119",8903.58333333333,1,0.005,0.39,0.54,NA,1.27
"120",8935.58333333333,1,0.005,0.23,1.91,NA,1.64
"121",8985.58333333333,1,0.003,0.24,1.11,NA,0.89
"122",9033.58333333333,1,0.005,0.25,0.71,NA,0.3
"123",9071.58333333333,1,0.003,0.22,0.9,NA,0.11
"124",9112.58333333333,1,0.13,0.35,1.41,NA,0.16
"125",9153.58333333333,1,0.01,0.31,5.4,NA,NA
"127",9196.58333333333,1,0.01,0.33,2.86,NA,10.94
"128",9239.58333333333,1,0.01,0.33,1.17,NA,3.36
"129",9280.58333333333,1,0.02,0.75,8.39,NA,6.8
"130",9323.58333333333,1,0.004,0.23,0.96,NA,2.34
"131",9362.58333333333,1,0.01,0.43,1.23,NA,1.23
"132",9397.58333333333,1,0.14,1.3,241,NA,1.4
"133",9397.95833333333,1,NA,NA,4.19,"A",4.62
"134",9398.08333333333,1,NA,NA,6.77,"A",8.5
"135",9398.20833333333,1,NA,NA,125,"A",336.58
"136",9398.33333333333,1,NA,NA,576,"A",249.92
"137",9398.45833333333,1,NA,NA,372,"A",187.49
"138",9398.58333333333,1,NA,NA,226,"A",284.12
"139",9398.70833333333,1,NA,NA,293,"A",363.61
"140",9398.83333333333,1,NA,NA,267,"A",361.69
"141",9398.95833333333,1,NA,NA,209,"A",315.11
"142",9399.09375,1,NA,NA,211,"A",303.66
"143",9399.21875,1,NA,NA,245,"A",258.6
"144",9399.35416666667,1,NA,NA,197,"A",200.81
"145",9399.47916666667,1,NA,NA,187,"A",162.46
"146",9399.61458333333,1,NA,NA,164,"A",132.09
"147",9399.73958333333,1,NA,NA,133,"A",110.46
"148",9399.86458333333,1,NA,NA,123,"A",94.14
"149",9399.98958333333,1,NA,NA,108,"A",81.43
"150",9400.11458333333,1,NA,NA,103,"A",71.68
"151",9406.58333333333,1,0.02,0.69,7.1,NA,7.71
"152",9446.58333333333,1,0.009,0.6,1.03,NA,1.43
"153",9456.83333333333,1,NA,NA,2.39,"A",4.16
"154",9457.09375,1,NA,NA,1.68,"A",4.71
"155",9457.57291666667,1,NA,NA,2.3,"A",6.6
"156",9491.58333333333,1,0.15,0.38,1.11,NA,1.04
"157",9534.58333333333,1,0.01,0.47,1.64,NA,1.78
"158",9574.58333333333,1,0.009,0.42,2.68,NA,0.69
"159",9616.58333333333,1,0.006,0.36,2.03,NA,0.31
"160",9620.58333333333,1,0.05,0.52,14.5,NA,0.6
"161",9621.19791666667,1,NA,NA,2.11,"A",0.84
"162",9621.32291666667,1,NA,NA,2.03,"A",0.91
"163",9621.44791666667,1,NA,NA,2.9,"A",8.9
"164",9621.57291666667,1,NA,NA,3.03,"A",10.01
"165",9621.69791666667,1,NA,NA,2.65,"A",11.02
"166",9621.82291666667,1,NA,NA,2.73,"A",15.38
"167",9621.94791666667,1,NA,NA,5.09,"A",21.14
"168",9622.07291666667,1,NA,NA,8.69,"A",27.97
"169",9622.19791666667,1,NA,NA,12.2,"A",31.94
"170",9622.32291666667,1,NA,NA,12.6,"A",46.96
"171",9622.44791666667,1,NA,NA,15.4,"A",50.43
"172",9622.57291666667,1,NA,NA,13.3,"A",50.64
"173",9622.69791666667,1,NA,NA,13.1,"A",53.92
"174",9622.82291666667,1,NA,NA,15.1,"A",54.99
"175",9622.94791666667,1,NA,NA,20.9,"A",54.99
"176",9623.07291666667,1,NA,NA,20.6,"A",53.87
"177",9623.19791666667,1,NA,NA,20.3,"A",51.68
"178",9623.32291666667,1,NA,NA,20.9,"A",48.78
"179",9623.44791666667,1,NA,NA,24.7,"A",45.94
"180",9623.58333333333,1,0.03,0.74,NA,NA,42.62
"181",9657.58333333333,1,0.009,0.36,0.73,NA,1.7
"182",9700.58333333333,1,0.006,0.27,0.95,NA,2.72
"183",9704.58333333333,1,0.04,0.41,10.2,NA,2.94
"184",9705.02083333333,1,NA,NA,1.74,"A",5.01
"185",9705.14583333333,1,NA,NA,1.47,"A",5.68
"186",9705.27083333333,1,NA,NA,1.52,"A",5.84
"187",9705.39583333333,1,NA,NA,1.48,"A",6.37
"188",9705.52083333333,1,NA,NA,2.74,"A",8.06
"189",9705.64583333333,1,NA,NA,1.85,"A",9.41
"190",9705.77083333333,1,NA,NA,1.64,"A",10.22
"191",9705.89583333333,1,NA,NA,2.04,"A",10.45
"192",9706.02083333333,1,NA,NA,1.6,"A",10.51
"193",9706.14583333333,1,NA,NA,2.3,"A",13.41
"194",9706.27083333333,1,NA,NA,2.24,"A",14.75
"195",9706.39583333333,1,NA,NA,2.81,"A",14.75
"196",9706.52083333333,1,NA,NA,2.3,"A",14.61
"197",9706.64583333333,1,NA,NA,3.32,"A",14.04
